"","Binomial","class","order","family","genus","species","subspecies","common_name","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","birth_or_hatching_weight_g","weaning_weight_g","egg_mass_g","incubation_d","fledging_age_d","longevity_y","male_maturity_d","inter_litter_or_interbirth_interval_y","female_body_mass_g","male_body_mass_g","no_sex_body_mass_g","egg_width_mm","egg_length_mm","fledging_mass_g","adult_svl_cm","male_svl_cm","female_svl_cm","birth_or_hatching_svl_cm","female_svl_at_maturity_cm","female_body_mass_at_maturity_g","no_sex_svl_cm","no_sex_maturity_d","lat","lon","fullCountry","temp","precip"
"1","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-1.357095,36.718655,"Kenya",18.1,819
"2","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-1.356291,36.719737,"Kenya",18.1,819
"3","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,0.003221,36.945708,"Kenya",17.2,758
"4","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-1.426575,35.071036,"Kenya",19.8,1046
"5","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-5.074732,38.702922,"Tanzania, United Republic of",24.6,1306
"6","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-1.336434,36.777592,"Kenya",18.1,819
"7","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-0.154624,37.012037,"Kenya",15.4,934
"8","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-1.359068,36.718629,"Kenya",18.1,819
"9","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-0.111629,36.973005,"Kenya",16.8,816
"10","Dendrohyrax arboreus","Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus",NA,"Southern Tree Hyrax",365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA,-0.142082,36.926074,"Kenya",16.8,816
